No,Date,Time,Unix Time,Humidity,Soil Moisture,Temperature,Light Intensity
1,11 March 2024,08:05:42,1710124542,47,39,43,42
2,11 March 2024,08:05:43,1710124543,70,42,64,510
3,11 March 2024,08:05:44,1710124544,63,39,40,85
4,11 March 2024,08:05:45,1710124545,82,32,27,839
5,11 March 2024,08:05:46,1710124546,67,39,80,340
6,11 March 2024,08:05:47,1710124547,43,39,49,773
7,11 March 2024,08:05:48,1710124548,50,43,89,470
8,11 March 2024,08:05:49,1710124549,56,45,87,146
9,11 March 2024,08:05:50,1710124550,52,37,70,65
10,11 March 2024,08:05:51,1710124551,69,39,69,741
11,11 March 2024,08:05:52,1710124552,57,42,83,712
12,11 March 2024,08:05:53,1710124553,75,35,38,331
13,11 March 2024,08:05:54,1710124554,84,47,71,129
